,ts_code,name,market,publisher,category,base_date,base_point,list_date
112,000980.SH,中证超大(SH),SSE,中证指数有限公司,规模指数,20041231,1000.0,20110510
113,000985.CSI,中证全指,CSI,中证指数有限公司,规模指数,20041231,1000.0,20110802
114,000985.SH,中证全指(SH),SSE,中证指数有限公司,规模指数,20041231,1000.0,20110802
115,000985USD210.CSI,中证全指(全)USD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20240812
116,000985USD220.CSI,中证全指(净)USD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20240812
117,000985USD310.CSI,中证全指(全)USD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20240812
118,000985USD320.CSI,中证全指(净)USD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20240812
119,000999.SH,两岸三地,SSE,中证指数有限公司,规模指数,20041231,1000.0,20100118
120,399300.SZ,沪深300,SZSE,中证指数有限公司,规模指数,20041231,1000.0,20050408
121,399852.SZ,中证1000,SZSE,中证指数有限公司,规模指数,20041231,1000.0,20141017
122,399903.SZ,中证A100,SZSE,中证指数有限公司,规模指数,20051230,1000.0,20060529
123,399904.SZ,中证200(退市),SZSE,中证指数有限公司,规模指数,20041231,1000.0,20070115
124,399905.SZ,中证500,SZSE,中证指数有限公司,规模指数,20041231,1000.0,20070115
125,399906.SZ,中证800(退市),SZSE,中证指数有限公司,规模指数,20041231,1000.0,20070115
126,399907.SZ,中证700(退市),SZSE,中证指数有限公司,规模指数,20041231,1000.0,20070115
127,399980.SZ,中证超大(退市),SZSE,中证指数有限公司,规模指数,20041231,1000.0,20110510
128,399985.SZ,中证全指(退市),SZSE,中证指数有限公司,规模指数,20041231,1000.0,20110802
129,899001.CSI,三板成指,CSI,中证指数有限公司,规模指数,20141231,1000.0,20150318
130,899002.CSI,三板做市,CSI,中证指数有限公司,规模指数,20141231,1000.0,20150318
131,899003.CSI,创新成指,CSI,中证指数有限公司,规模指数,20181220,1000.0,20190114
132,899050CNY01.CSI,北证50全收益,CSI,中证指数有限公司,规模指数,20220429,1000.0,20221121
133,899050CNY02.CSI,北证50净收益,CSI,中证指数有限公司,规模指数,20220429,1000.0,20221121
134,921395.CSI,沪港深300(全),CSI,中证指数有限公司,规模指数,20141114,1000.0,20200114
135,921396.CSI,沪港深300(全)HKD,CSI,中证指数有限公司,规模指数,20141114,1000.0,20200114
136,921459.SH,中证800(全)USD,SSE,中证指数有限公司,规模指数,20041231,1000.0,20200311
137,921460.SH,中证1000(全)USD,SSE,中证指数有限公司,规模指数,20041231,1000.0,20200311
138,930050.CSI,中证A50,CSI,中证指数有限公司,规模指数,20141231,1000.0,20240102
139,930050CNY010.CSI,中证A50全收益,CSI,中证指数有限公司,规模指数,20141231,1000.0,20240102
140,930050CNY020.CSI,中证A50净收益,CSI,中证指数有限公司,规模指数,20141231,1000.0,20240102
