trade_date,group,group_ret,benchmark
20160201,1.0,-0.000699999999999981,0.16908600000000001
20160201,3.0,-0.042499999999999996,0.16908600000000001
20160201,5.0,0.10669999999999999,0.16908600000000001
20160201,8.0,0.5013,0.16908600000000001
20160201,10.0,0.3992,0.16908600000000001
20160215,1.0,0.024800000000000006,0.16908600000000001
20160215,5.0,0.0631,0.16908600000000001
20160215,10.0,0.01670000000000001,0.16908600000000001
20160222,1.0,0.11599999999999999,0.16908600000000001
20160222,2.0,0.03499999999999999,0.16908600000000001
20160222,3.0,-0.004399999999999994,0.16908600000000001
20160222,4.0,0.11510000000000001,0.16908600000000001
20160222,5.0,0.1905,0.16908600000000001
20160222,6.0,-0.006299999999999984,0.16908600000000001
20160222,7.0,0.03999999999999999,0.16908600000000001
20160222,8.0,0.10140000000000002,0.16908600000000001
20160222,9.0,0.1,0.16908600000000001
20160222,10.0,0.028500000000000004,0.16908600000000001
20160229,1.0,0.17795384615384616,0.16908600000000001
20160229,2.0,0.21478076923076922,0.16908600000000001
20160229,3.0,0.19490384615384615,0.16908600000000001
20160229,4.0,0.20212307692307693,0.16908600000000001
20160229,5.0,0.17625384615384615,0.16908600000000001
20160229,6.0,0.17542941176470586,0.16908600000000001
20160229,7.0,0.1923730769230769,0.16908600000000001
20160229,8.0,0.1924,0.16908600000000001
20160229,9.0,0.20572115384615383,0.16908600000000001
20160229,10.0,0.15791153846153844,0.16908600000000001
20160314,1.0,0.060399999999999995,-0.015794000000000006
20160314,2.0,0.15510000000000002,-0.015794000000000006
20160314,3.0,0.0719,-0.015794000000000006
20160314,4.0,0.15030000000000002,-0.015794000000000006
20160314,5.0,-0.021800000000000035,-0.015794000000000006
20160314,6.0,-0.031999999999999994,-0.015794000000000006
20160314,7.0,0.19990000000000002,-0.015794000000000006
20160314,8.0,0.04139999999999999,-0.015794000000000006
20160314,9.0,0.1704,-0.015794000000000006
20160314,10.0,0.19279999999999997,-0.015794000000000006
20160321,1.0,-0.2563,-0.015794000000000006
20160321,2.0,-0.03450000000000002,-0.015794000000000006
20160321,3.0,-0.04150000000000001,-0.015794000000000006
20160321,4.0,-0.18180000000000002,-0.015794000000000006
20160321,5.0,-0.042400000000000014,-0.015794000000000006
20160321,6.0,0.1463,-0.015794000000000006
20160321,7.0,0.1146,-0.015794000000000006
20160321,8.0,0.12730000000000002,-0.015794000000000006
20160321,9.0,0.06040000000000001,-0.015794000000000006
20160321,10.0,0.18140000000000003,-0.015794000000000006
20160328,1.0,-0.010349056603773587,-0.015794000000000006
20160328,2.0,-0.03591923076923077,-0.015794000000000006
20160328,3.0,-0.014463461538461538,-0.015794000000000006
20160328,4.0,-0.0010384615384615378,-0.015794000000000006
20160328,5.0,0.02485576923076923,-0.015794000000000006
20160328,6.0,-0.02063076923076923,-0.015794000000000006
20160328,7.0,-0.019463461538461537,-0.015794000000000006
20160328,8.0,0.03420576923076923,-0.015794000000000006
20160328,9.0,-0.016,-0.015794000000000006
20160328,10.0,-0.02581346153846154,-0.015794000000000006
20160411,1.0,0.0658,-0.0071299999999999905
20160411,3.0,-0.1633,-0.0071299999999999905
20160411,5.0,0.01680000000000002,-0.0071299999999999905
20160411,8.0,0.2258,-0.0071299999999999905
20160411,10.0,0.012900000000000002,-0.0071299999999999905
20160418,1.0,-0.015700000000000006,-0.0071299999999999905
20160418,3.0,-0.00350000000000001,-0.0071299999999999905
20160418,5.0,-0.021099999999999994,-0.0071299999999999905
20160418,8.0,-0.15330000000000002,-0.0071299999999999905
20160418,10.0,0.03240000000000001,-0.0071299999999999905
20160425,1.0,0.00898301886792453,-0.0071299999999999905
20160425,2.0,0.01485,-0.0071299999999999905
20160425,3.0,0.00941132075471698,-0.0071299999999999905
20160425,4.0,-0.006173076923076921,-0.0071299999999999905
20160425,5.0,0.04175094339622642,-0.0071299999999999905
20160425,6.0,0.012271153846153847,-0.0071299999999999905
20160425,7.0,0.003234615384615385,-0.0071299999999999905
20160425,8.0,0.006052830188679244,-0.0071299999999999905
20160425,9.0,-0.007911538461538461,-0.0071299999999999905
20160425,10.0,-0.03341509433962264,-0.0071299999999999905
20160509,1.0,-0.007899999999999999,0.067091
20160509,5.0,0.05200000000000001,0.067091
20160509,10.0,0.2659,0.067091
20160516,1.0,-0.11839999999999999,0.067091
20160516,2.0,0.18430000000000002,0.067091
20160516,4.0,-0.008499999999999999,0.067091
20160516,5.0,0.27909999999999996,0.067091
20160516,7.0,0.2521,0.067091
20160516,9.0,0.14930000000000002,0.067091
20160516,10.0,0.2,0.067091
20160523,1.0,0.37520000000000003,0.067091
20160523,3.0,0.1001,0.067091
20160523,5.0,-0.008700000000000003,0.067091
20160523,8.0,0.1689,0.067091
20160523,10.0,0.040299999999999996,0.067091
20160530,1.0,0.0820754716981132,0.067091
20160530,2.0,0.078225,0.067091
20160530,3.0,0.05365961538461539,0.067091
20160530,4.0,0.0664673076923077,0.067091
20160530,5.0,0.059046153846153845,0.067091
20160530,6.0,0.0741076923076923,0.067091
20160530,7.0,0.07109038461538461,0.067091
20160530,8.0,0.04446153846153847,0.067091
20160530,9.0,0.0566,0.067091
20160530,10.0,0.07981509433962264,0.067091
20160606,1.0,-0.1634,-0.026152000000000005
20160606,10.0,-0.1624,-0.026152000000000005
20160613,1.0,0.144,-0.026152000000000005
20160613,5.0,0.2445,-0.026152000000000005
20160613,10.0,0.1387,-0.026152000000000005
20160620,1.0,0.24509999999999998,-0.026152000000000005
20160620,5.0,0.079,-0.026152000000000005
20160620,10.0,-0.032,-0.026152000000000005
20160627,1.0,-0.03573584905660377,-0.026152000000000005
20160627,2.0,-0.0036962264150943403,-0.026152000000000005
20160627,3.0,0.013296153846153845,-0.026152000000000005
20160627,4.0,0.01307735849056604,-0.026152000000000005
20160627,5.0,0.011856603773584905,-0.026152000000000005
20160627,6.0,0.022675,-0.026152000000000005
20160627,7.0,-0.00727924528301887,-0.026152000000000005
20160627,8.0,-0.007876923076923078,-0.026152000000000005
20160627,9.0,-0.026913207547169814,-0.026152000000000005
20160627,10.0,-0.04644339622641509,-0.026152000000000005
20160704,1.0,0.41809999999999997,0.03987
20160704,5.0,0.21350000000000002,0.03987
20160704,10.0,0.028899999999999988,0.03987
20160711,1.0,-0.13859999999999997,0.03987
20160711,10.0,0.1399,0.03987
20160718,1.0,-0.2295,0.03987
20160718,2.0,0.2454,0.03987
20160718,4.0,0.0866,0.03987
20160718,5.0,0.0241,0.03987
20160718,7.0,0.016999999999999994,0.03987
20160718,9.0,-0.020500000000000004,0.03987
