group,avg_return,std_return,n_periods
1.0,0.010222260580498391,0.17058210036672453,207
2.0,0.011690949738241072,0.07588158495900024,138
3.0,0.004101471239057105,0.07432628215229184,142
4.0,-0.001448520225621389,0.09000491464466892,142
5.0,0.005781966613684645,0.10675847007077305,170
6.0,0.011549921411213282,0.0669611583032639,132
7.0,0.014568905162762325,0.08341545519917298,135
8.0,0.011313100098985696,0.11029559971585125,149
9.0,0.010093913514281797,0.0698939112284006,131
10.0,0.010359630056415749,0.15855833177822037,207
